검색어,관련도,일치 키워드,광고그룹,검색유형,노출수,클릭수,CTR,비용,구독 신청,전환당비용
블렌더 강의 신청,관련,블렌더 강의,광고그룹 1,확장검색,510,10,1.91%,9568,0.00,
모델링 추천,느슨함,모델링 강의,광고그룹 1,확장검색,347,10,2.84%,9341,0.00,
블렌더 강의 추천,관련,블렌더 강의,광고그룹 1,확장검색,488,9,1.91%,9170,0.00,
모델링 강의 할인,관련,모델링 강의,광고그룹 1,확장검색,335,10,2.84%,9018,0.00,
모델링 블로그,느슨함,모델링,광고그룹 1,확장검색,1553,9,0.58%,8659,0.00,
블렌더 강의 후기,관련,블렌더 강의,광고그룹 1,확장검색,445,8,1.91%,8359,0.00,
블렌더 후기,느슨함,블렌더 강의,광고그룹 1,확장검색,438,8,1.91%,8219,0.00,
모델링 토렌트,무관,모델링,광고그룹 1,확장검색,1440,8,0.58%,8025,0.00,
모델링 강의 가격,관련,모델링 강의,광고그룹 1,확장검색,298,8,2.84%,8021,0.00,
모델링 블로그,느슨함,모델링 강의,광고그룹 1,확장검색,296,8,2.84%,7979,0.00,
모델링 자격증,무관,모델링,광고그룹 1,확장검색,1407,8,0.58%,7843,0.00,
동네 모델링 강의,관련,모델링 강의,광고그룹 1,확장검색,280,8,2.84%,7539,0.00,
직접 모델링,관련,모델링,광고그룹 1,확장검색,1222,7,0.58%,6810,0.00,
블렌더 다운로드,무관,블렌더 강의,광고그룹 1,확장검색,346,7,1.91%,6499,0.00,
블렌더 강의 요금,관련,블렌더 강의,광고그룹 1,확장검색,337,6,1.91%,6325,0.00,
모델링 토렌트,무관,모델링 강의,광고그룹 1,확장검색,232,7,2.84%,6246,0.00,
모델링 공짜,무관,모델링 강의,광고그룹 1,확장검색,227,6,2.84%,6122,0.00,
동네 모델링,관련,모델링,광고그룹 1,확장검색,1072,6,0.58%,5979,0.00,
모델링 뜻,무관,모델링,광고그룹 1,확장검색,922,5,0.58%,5139,0.00,
블렌더 공짜,무관,블렌더 강의,광고그룹 1,확장검색,256,5,1.91%,4798,0.00,
3D 초보,정확 일치,3D 초보,광고그룹 1,확장검색,234,4,1.90%,4446,0.00,
블렌더 구인,무관,블렌더 강의,광고그룹 1,확장검색,208,4,1.91%,3905,0.00,
3D 초보 가격,관련,3D 초보,광고그룹 1,확장검색,199,4,1.90%,3782,0.00,
3D 국비지원,무관,3D 초보,광고그룹 1,확장검색,181,3,1.90%,3443,0.00,
3D 초보 할인,관련,3D 초보,광고그룹 1,확장검색,179,3,1.90%,3417,0.00,
블렌더 추천,느슨함,블렌더 강의,광고그룹 1,확장검색,177,3,1.91%,3321,0.00,
3D 초보 요금,관련,3D 초보,광고그룹 1,확장검색,160,3,1.90%,3047,0.00,
3D 공짜,무관,3D 초보,광고그룹 1,확장검색,143,3,1.90%,2729,0.00,
동네 3D 초보,관련,3D 초보,광고그룹 1,확장검색,142,3,1.90%,2695,0.00,
3D 후기,느슨함,3D 초보,광고그룹 1,확장검색,138,3,1.90%,2625,0.00,
3D 무료,무관,3D 초보,광고그룹 1,확장검색,121,2,1.90%,2295,0.00,
3D 온라인 강의,정확 일치,3D 온라인 강의,광고그룹 1,확장검색,92,2,2.19%,1962,0.00,
가까운 3D 온라인 강의,관련,3D 온라인 강의,광고그룹 1,확장검색,86,2,2.19%,1830,0.00,
3D 블로그,느슨함,3D 온라인 강의,광고그룹 1,확장검색,77,2,2.19%,1635,0.00,
3D 온라인 강의 추천,관련,3D 온라인 강의,광고그룹 1,확장검색,71,2,2.19%,1513,0.00,
저렴한 3D 온라인 강의,관련,3D 온라인 강의,광고그룹 1,확장검색,71,2,2.19%,1507,0.00,
3D 국비지원,무관,3D 온라인 강의,광고그룹 1,확장검색,61,1,2.19%,1292,0.00,
3D 온라인 강의 가격,관련,3D 온라인 강의,광고그룹 1,확장검색,56,1,2.19%,1182,0.00,
중고 3D 온라인 강의,관련,3D 온라인 강의,광고그룹 1,확장검색,54,1,2.19%,1140,0.00,
3D 뜻,무관,3D 온라인 강의,광고그룹 1,확장검색,51,1,2.19%,1088,0.00,
3D 온라인 강의 비교,관련,3D 온라인 강의,광고그룹 1,확장검색,46,1,2.19%,970,0.00,
3D 알바,무관,3D 온라인 강의,광고그룹 1,확장검색,43,1,2.19%,923,0.00,
3D 무료,무관,3D 온라인 강의,광고그룹 1,확장검색,29,1,2.19%,616,0.00,
모델링 초보,정확 일치,모델링 초보,광고그룹 1,확장검색,193,0,0.24%,445,0.00,
저렴한 모델링 초보,관련,모델링 초보,광고그룹 1,확장검색,181,0,0.24%,417,0.00,
모델링 무료,무관,모델링 초보,광고그룹 1,확장검색,159,0,0.24%,366,0.00,
초보 모델링 초보,관련,모델링 초보,광고그룹 1,확장검색,156,0,0.24%,360,0.00,
모델링 초보 신청,관련,모델링 초보,광고그룹 1,확장검색,154,0,0.24%,354,0.00,
모델링 뜻,무관,모델링 초보,광고그룹 1,확장검색,137,0,0.24%,315,0.00,
모델링 초보 후기,관련,모델링 초보,광고그룹 1,확장검색,117,0,0.24%,271,0.00,
모델링 초보 가격,관련,모델링 초보,광고그룹 1,확장검색,110,0,0.24%,254,0.00,
모델링 독학,무관,모델링 초보,광고그룹 1,확장검색,108,0,0.24%,248,0.00,
모델링 초보 할인,관련,모델링 초보,광고그룹 1,확장검색,99,0,0.24%,227,0.00,
모델링 블로그,느슨함,모델링 초보,광고그룹 1,확장검색,62,0,0.24%,143,0.00,
